date,visites
2022-05-06 16:04,931.0
2022-05-06 16:05,931.0
2022-05-06 16:06,808.0
2022-05-06 16:07,982.0
2022-05-06 16:08,860.0
2022-05-06 16:09,849.0
2022-05-06 16:10,1064.0
2022-05-06 16:11,1105.0
2022-05-06 16:12,952.0
2022-05-06 16:13,860.0
2022-05-06 16:14,1023.0
2022-05-06 16:15,819.0
2022-05-06 16:16,870.0
2022-05-06 16:17,921.0
2022-05-06 16:18,962.0
2022-05-06 16:19,870.0
2022-05-06 16:20,870.0
2022-05-06 16:21,1033.0
2022-05-06 16:22,890.0
2022-05-06 16:23,1033.0
2022-05-06 16:24,849.0
2022-05-06 16:25,952.0
2022-05-06 16:26,962.0
2022-05-06 16:27,1832.0
2022-05-06 16:28,1371.0
2022-05-06 16:29,1003.0
2022-05-06 16:30,1259.0
2022-05-06 16:31,1033.0
2022-05-06 16:32,819.0
2022-05-06 16:33,645.0
2022-05-06 16:34,921.0
2022-05-06 16:35,890.0
2022-05-06 16:36,870.0
2022-05-06 16:37,788.0
2022-05-06 16:38,941.0
2022-05-06 16:39,860.0
2022-05-06 16:40,819.0
2022-05-06 16:41,900.0
2022-05-06 16:42,931.0
2022-05-06 16:43,849.0
2022-05-05 19:24,1126.0
2022-05-05 19:25,1023.0
2022-05-05 19:26,1003.0
2022-05-05 19:27,1064.0
2022-05-05 19:28,941.0
2022-05-05 19:29,890.0
2022-05-05 19:30,1013.0
2022-05-05 19:31,962.0
2022-05-05 19:32,941.0
2022-05-05 19:33,778.0
2022-05-05 19:34,808.0
2022-05-05 19:35,829.0
2022-05-05 19:36,1105.0
2022-05-05 19:37,931.0
2022-05-05 19:38,921.0
2022-05-05 19:39,1044.0
2022-05-05 19:40,993.0
2022-05-05 19:41,1003.0
2022-05-05 19:42,880.0
2022-05-05 19:43,1023.0
2022-05-05 19:44,972.0
2022-05-05 19:45,931.0
2022-05-05 19:46,952.0
2022-05-05 19:47,716.0
2022-05-05 19:48,1044.0
2022-05-05 19:49,1729.0
2022-05-05 19:50,1545.0
2022-05-05 19:51,1187.0
2022-05-05 19:52,1187.0
2022-05-05 19:53,1003.0
2022-05-05 19:54,900.0
2022-05-05 19:55,1023.0
2022-05-05 19:56,1166.0
2022-05-05 19:57,1003.0
2022-05-05 19:58,778.0
2022-05-05 19:59,921.0
2022-05-05 20:00,911.0
2022-05-05 20:01,941.0
2022-05-05 20:02,941.0
2022-05-05 20:03,808.0
2022-05-05 16:36,900.0
2022-05-05 16:37,1044.0
2022-05-05 16:38,870.0
2022-05-05 16:39,860.0
2022-05-05 16:40,839.0
2022-05-05 16:41,921.0
2022-05-05 16:42,727.0
2022-05-05 16:43,911.0
2022-05-05 16:44,952.0
2022-05-05 16:45,993.0
2022-05-05 16:46,952.0
2022-05-05 16:47,931.0
2022-05-05 16:48,972.0
2022-05-05 16:49,1064.0
2022-05-05 16:50,1033.0
2022-05-05 16:51,900.0
2022-05-05 16:52,767.0
2022-05-05 16:53,1115.0
2022-05-05 16:54,900.0
2022-05-05 16:55,921.0
2022-05-05 16:56,1064.0
2022-05-05 16:57,839.0
2022-05-05 16:58,931.0
2022-05-05 16:59,900.0
2022-05-05 17:00,1003.0
2022-05-05 17:01,1566.0
2022-05-05 17:02,1760.0
2022-05-05 17:03,1218.0
2022-05-05 17:04,1095.0
2022-05-05 17:05,1156.0
2022-05-05 17:06,1269.0
2022-05-05 17:07,1166.0
2022-05-05 17:08,911.0
2022-05-05 17:09,972.0
2022-05-05 17:10,1054.0
2022-05-05 17:11,1064.0
2022-05-05 17:12,993.0
2022-05-05 17:13,1003.0
2022-05-05 17:14,911.0
2022-05-05 17:15,1003.0
2022-05-05 12:05,788.0
2022-05-05 12:06,563.0
2022-05-05 12:07,655.0
2022-05-05 12:08,675.0
2022-05-05 12:09,686.0
2022-05-05 12:10,727.0
2022-05-05 12:11,675.0
2022-05-05 12:12,573.0
2022-05-05 12:13,593.0
2022-05-05 12:14,553.0
2022-05-05 12:15,563.0
2022-05-05 12:16,573.0
2022-05-05 12:17,747.0
2022-05-05 12:18,767.0
2022-05-05 12:19,737.0
2022-05-05 12:20,573.0
2022-05-05 12:21,747.0
2022-05-05 12:22,532.0
2022-05-05 12:23,450.0
2022-05-05 12:24,716.0
2022-05-05 12:25,737.0
2022-05-05 12:26,757.0
2022-05-05 12:27,808.0
2022-05-05 12:28,2231.0
2022-05-05 12:29,1566.0
2022-05-05 12:30,1238.0
2022-05-05 12:31,1146.0
2022-05-05 12:32,1340.0
2022-05-05 12:33,1013.0
2022-05-05 12:34,798.0
2022-05-05 12:35,839.0
2022-05-05 12:36,757.0
2022-05-05 12:37,900.0
2022-05-05 12:38,952.0
2022-05-05 12:39,686.0
2022-05-05 12:40,706.0
2022-05-05 12:41,634.0
2022-05-05 12:42,788.0
2022-05-05 12:43,501.0
2022-05-05 12:44,798.0
2022-05-04 19:47,921.0
2022-05-04 19:48,880.0
2022-05-04 19:49,1811.0
2022-05-04 19:50,1412.0
2022-05-04 19:51,1095.0
2022-05-04 19:52,1668.0
2022-05-04 19:53,3182.0
2022-05-04 19:54,1637.0
2022-05-04 19:55,1688.0
2022-05-04 19:56,1699.0
2022-05-04 19:57,1228.0
2022-05-04 19:58,1146.0
2022-05-04 19:59,1023.0
2022-05-04 20:00,829.0
2022-05-04 20:01,1218.0
2022-05-04 20:02,952.0
2022-05-04 20:03,952.0
2022-05-04 20:04,1023.0
2022-05-04 20:05,962.0
2022-05-04 20:06,1033.0
2022-05-04 20:07,993.0
2022-05-04 20:08,962.0
2022-05-04 20:09,2108.0
2022-05-04 20:10,1719.0
2022-05-04 20:11,1259.0
2022-05-04 20:12,1044.0
2022-05-04 20:13,1330.0
2022-05-04 20:14,1013.0
2022-05-04 20:15,1095.0
2022-05-04 20:16,1115.0
2022-05-04 20:17,1064.0
2022-05-04 20:18,1023.0
2022-05-04 20:19,1044.0
2022-05-04 20:20,1044.0
2022-05-04 20:21,1126.0
2022-05-04 20:22,1197.0
2022-05-04 20:23,1013.0
2022-05-04 20:24,1003.0
2022-05-04 20:25,962.0
2022-05-04 20:26,1095.0
2022-05-04 19:01,1085.0
2022-05-04 19:02,962.0
2022-05-04 19:03,1146.0
2022-05-04 19:04,1074.0
2022-05-04 19:05,860.0
2022-05-04 19:06,921.0
2022-05-04 19:07,1003.0
2022-05-04 19:08,870.0
2022-05-04 19:09,890.0
2022-05-04 19:10,1044.0
2022-05-04 19:11,655.0
2022-05-04 19:12,1095.0
2022-05-04 19:13,1033.0
2022-05-04 19:14,900.0
2022-05-04 19:15,972.0
2022-05-04 19:16,880.0
2022-05-04 19:17,911.0
2022-05-04 19:18,829.0
2022-05-04 19:19,900.0
2022-05-04 19:20,1013.0
2022-05-04 19:21,1044.0
2022-05-04 19:22,941.0
2022-05-04 19:23,880.0
2022-05-04 19:24,1637.0
2022-05-04 19:25,1228.0
2022-05-04 19:26,1320.0
2022-05-04 19:27,1187.0
2022-05-04 19:28,1105.0
2022-05-04 19:29,1003.0
2022-05-04 19:30,1054.0
2022-05-04 19:31,1085.0
2022-05-04 19:32,890.0
2022-05-04 19:33,921.0
2022-05-04 19:34,870.0
2022-05-04 19:35,767.0
2022-05-04 19:36,819.0
2022-05-04 19:37,952.0
2022-05-04 19:38,921.0
2022-05-04 19:39,921.0
2022-05-04 19:40,890.0
2022-05-04 16:04,1044.0
2022-05-04 16:05,1238.0
2022-05-04 16:06,993.0
2022-05-04 16:07,890.0
2022-05-04 16:08,870.0
2022-05-04 16:09,860.0
2022-05-04 16:10,1003.0
2022-05-04 16:11,1013.0
2022-05-04 16:12,1095.0
2022-05-04 16:13,952.0
2022-05-04 16:14,798.0
2022-05-04 16:15,911.0
2022-05-04 16:16,1003.0
2022-05-04 16:17,737.0
2022-05-04 16:18,952.0
2022-05-04 16:19,1105.0
2022-05-04 16:20,1248.0
2022-05-04 16:21,1115.0
2022-05-04 16:22,890.0
2022-05-04 16:23,880.0
2022-05-04 16:24,952.0
2022-05-04 16:25,829.0
2022-05-04 16:26,962.0
2022-05-04 16:27,982.0
2022-05-04 16:28,1699.0
2022-05-04 16:29,1658.0
2022-05-04 16:30,1300.0
2022-05-04 16:31,1115.0
2022-05-04 16:32,870.0
2022-05-04 16:33,1054.0
2022-05-04 16:34,1126.0
2022-05-04 16:35,1044.0
2022-05-04 16:36,1228.0
2022-05-04 16:37,1013.0
2022-05-04 16:38,870.0
2022-05-04 16:39,1085.0
2022-05-04 16:40,829.0
2022-05-04 16:41,1085.0
2022-05-04 16:42,921.0
2022-05-04 16:43,941.0
2022-05-03 16:03,1054.0
2022-05-03 16:04,1126.0
2022-05-03 16:05,1126.0
2022-05-03 16:06,1003.0
2022-05-03 16:07,1156.0
2022-05-03 16:08,1085.0
2022-05-03 16:09,962.0
2022-05-03 16:10,1218.0
2022-05-03 16:11,1422.0
2022-05-03 16:12,931.0
2022-05-03 16:13,900.0
2022-05-03 16:14,1207.0
2022-05-03 16:15,1105.0
2022-05-03 16:16,1064.0
2022-05-03 16:17,1259.0
2022-05-03 16:18,1136.0
2022-05-03 16:19,1013.0
2022-05-03 16:20,1146.0
2022-05-03 16:21,1228.0
2022-05-03 16:22,1197.0
2022-05-03 16:23,1289.0
2022-05-03 16:24,1351.0
2022-05-03 16:25,1259.0
2022-05-03 16:26,2077.0
2022-05-03 16:27,1678.0
2022-05-03 16:28,1566.0
2022-05-03 16:29,1514.0
2022-05-03 16:30,1187.0
2022-05-03 16:31,1248.0
2022-05-03 16:32,1085.0
2022-05-03 16:33,1197.0
2022-05-03 16:34,1330.0
2022-05-03 16:35,1259.0
2022-05-03 16:36,1095.0
2022-05-03 16:37,1166.0
2022-05-03 16:38,1054.0
2022-05-03 16:39,1238.0
2022-05-03 16:40,1105.0
2022-05-03 16:41,1095.0
2022-05-03 16:42,972.0
2022-05-03 15:27,1852.0
2022-05-03 15:28,1811.0
2022-05-03 15:29,1279.0
2022-05-03 15:30,1289.0
2022-05-03 15:31,1228.0
2022-05-03 15:32,1095.0
2022-05-03 15:33,1238.0
2022-05-03 15:34,1187.0
2022-05-03 15:35,1310.0
2022-05-03 15:36,1371.0
2022-05-03 15:37,1187.0
2022-05-03 15:38,1115.0
2022-05-03 15:39,1259.0
2022-05-03 15:40,1228.0
2022-05-03 15:41,1197.0
2022-05-03 15:42,1279.0
2022-05-03 15:43,1207.0
2022-05-03 15:44,1177.0
2022-05-03 15:45,1300.0
2022-05-03 15:46,1218.0
2022-05-03 15:47,1422.0
2022-05-03 15:48,2231.0
2022-05-03 15:49,1525.0
2022-05-03 15:50,1525.0
2022-05-03 15:51,1453.0
2022-05-03 15:52,1330.0
2022-05-03 15:53,1218.0
2022-05-03 15:54,1279.0
2022-05-03 15:55,1300.0
2022-05-03 15:56,1177.0
2022-05-03 15:57,1269.0
2022-05-03 15:58,1064.0
2022-05-03 15:59,1310.0
2022-05-03 16:00,1187.0
2022-05-03 16:01,1136.0
2022-05-03 16:02,1054.0
2022-05-03 16:03,1054.0
2022-05-03 16:04,1126.0
2022-05-03 16:05,1126.0
2022-05-03 16:06,1003.0
2022-05-02 19:21,931.0
2022-05-02 19:22,952.0
2022-05-02 19:23,1668.0
2022-05-02 19:24,1279.0
2022-05-02 19:25,849.0
2022-05-02 19:26,1146.0
2022-05-02 19:27,972.0
2022-05-02 19:28,1105.0
2022-05-02 19:29,1228.0
2022-05-02 19:30,1126.0
2022-05-02 19:31,952.0
2022-05-02 19:32,982.0
2022-05-02 19:33,1177.0
2022-05-02 19:34,993.0
2022-05-02 19:35,962.0
2022-05-02 19:36,870.0
2022-05-02 19:37,860.0
2022-05-02 19:38,1023.0
2022-05-02 19:39,921.0
2022-05-02 19:40,1177.0
2022-05-02 19:41,993.0
2022-05-02 19:42,982.0
2022-05-02 19:43,972.0
2022-05-02 19:44,1218.0
2022-05-02 19:45,1013.0
2022-05-02 19:46,941.0
2022-05-02 19:47,1064.0
2022-05-02 19:48,1218.0
2022-05-02 19:49,1740.0
2022-05-02 19:50,1248.0
2022-05-02 19:51,900.0
2022-05-02 19:52,1064.0
2022-05-02 19:53,1187.0
2022-05-02 19:54,900.0
2022-05-02 19:55,962.0
2022-05-02 19:56,962.0
2022-05-02 19:57,1054.0
2022-05-02 19:58,1033.0
2022-05-02 19:59,952.0
2022-05-02 20:00,1064.0
2022-05-02 18:52,1177.0
2022-05-02 18:53,921.0
2022-05-02 18:54,1023.0
2022-05-02 18:55,1105.0
2022-05-02 18:56,962.0
2022-05-02 18:57,993.0
2022-05-02 18:58,1371.0
2022-05-02 18:59,1310.0
2022-05-02 19:00,1156.0
2022-05-02 19:01,1259.0
2022-05-02 19:02,1013.0
2022-05-02 19:03,993.0
2022-05-02 19:04,1054.0
2022-05-02 19:05,1074.0
2022-05-02 19:06,1074.0
2022-05-02 19:07,1289.0
2022-05-02 19:08,1238.0
2022-05-02 19:09,1146.0
2022-05-02 19:10,993.0
2022-05-02 19:11,1085.0
2022-05-02 19:12,1054.0
2022-05-02 19:13,890.0
2022-05-02 19:14,1013.0
2022-05-02 19:15,1044.0
2022-05-02 19:16,1177.0
2022-05-02 19:17,1136.0
2022-05-02 19:18,931.0
2022-05-02 19:19,1095.0
2022-05-02 19:20,1003.0
2022-05-02 19:21,931.0
2022-05-02 19:22,952.0
2022-05-02 19:23,1668.0
2022-05-02 19:24,1279.0
2022-05-02 19:25,849.0
2022-05-02 19:26,1146.0
2022-05-02 19:27,972.0
2022-05-02 19:28,1105.0
2022-05-02 19:29,1228.0
2022-05-02 19:30,1126.0
2022-05-02 19:31,952.0
2022-05-02 14:19,1207.0
2022-05-02 14:20,1085.0
2022-05-02 14:21,1136.0
2022-05-02 14:22,921.0
2022-05-02 14:23,931.0
2022-05-02 14:24,1115.0
2022-05-02 14:25,1095.0
2022-05-02 14:26,1248.0
2022-05-02 14:27,1064.0
2022-05-02 14:28,1013.0
2022-05-02 14:29,1064.0
2022-05-02 14:30,1136.0
2022-05-02 14:31,1013.0
2022-05-02 14:32,1013.0
2022-05-02 14:33,1187.0
2022-05-02 14:34,982.0
2022-05-02 14:35,1095.0
2022-05-02 14:36,1003.0
2022-05-02 14:37,941.0
2022-05-02 14:38,993.0
2022-05-02 14:39,982.0
2022-05-02 14:40,921.0
2022-05-02 14:41,829.0
2022-05-02 14:42,880.0
2022-05-02 14:43,921.0
2022-05-02 14:44,931.0
2022-05-02 14:45,1729.0
2022-05-02 14:46,1678.0
2022-05-02 14:47,1279.0
2022-05-02 14:48,1207.0
2022-05-02 14:49,962.0
2022-05-02 14:50,1044.0
2022-05-02 14:51,1126.0
2022-05-02 14:52,911.0
2022-05-02 14:53,921.0
2022-05-02 14:54,1013.0
2022-05-02 14:55,1300.0
2022-05-02 14:56,1044.0
2022-05-02 14:57,1156.0
2022-05-02 14:58,880.0
2022-04-26 19:24,860.0
2022-04-26 19:25,962.0
2022-04-26 19:26,890.0
2022-04-26 19:27,839.0
2022-04-26 19:28,952.0
2022-04-26 19:29,839.0
2022-04-26 19:30,931.0
2022-04-26 19:31,921.0
2022-04-26 19:32,982.0
2022-04-26 19:33,1003.0
2022-04-26 19:34,747.0
2022-04-26 19:35,921.0
2022-04-26 19:36,860.0
2022-04-26 19:37,921.0
2022-04-26 19:38,880.0
2022-04-26 19:39,808.0
2022-04-26 19:40,829.0
2022-04-26 19:41,900.0
2022-04-26 19:42,1074.0
2022-04-26 19:43,849.0
2022-04-26 19:44,890.0
2022-04-26 19:45,696.0
2022-04-26 19:46,655.0
2022-04-26 19:47,1985.0
2022-04-26 19:48,1248.0
2022-04-26 19:49,993.0
2022-04-26 19:50,921.0
2022-04-26 19:51,1033.0
2022-04-26 19:52,747.0
2022-04-26 19:53,911.0
2022-04-26 19:54,911.0
2022-04-26 19:55,819.0
2022-04-26 19:56,890.0
2022-04-26 19:57,798.0
2022-04-26 19:58,696.0
2022-04-26 19:59,849.0
2022-04-26 20:00,839.0
2022-04-26 20:01,819.0
2022-04-26 20:02,737.0
2022-04-26 20:03,870.0
2022-04-20 21:11,716.0
2022-04-20 21:12,553.0
2022-04-20 21:13,737.0
2022-04-20 21:14,941.0
2022-04-20 21:15,829.0
2022-04-20 21:16,778.0
2022-04-20 21:17,819.0
2022-04-20 21:18,645.0
2022-04-20 21:19,645.0
2022-04-20 21:20,665.0
2022-04-20 21:21,819.0
2022-04-20 21:22,849.0
2022-04-20 21:23,788.0
2022-04-20 21:24,890.0
2022-04-20 21:25,1054.0
2022-04-20 21:26,952.0
2022-04-20 21:27,778.0
2022-04-20 21:28,972.0
2022-04-20 21:29,941.0
2022-04-20 21:30,993.0
2022-04-20 21:31,1033.0
2022-04-20 21:32,1044.0
2022-04-20 21:33,1044.0
2022-04-20 21:34,1207.0
2022-04-20 21:35,1085.0
2022-04-20 21:36,921.0
2022-04-20 21:37,819.0
2022-04-20 21:38,931.0
2022-04-20 21:39,982.0
2022-04-20 21:40,900.0
2022-04-20 21:41,665.0
2022-04-20 21:42,921.0
2022-04-20 21:43,1074.0
2022-04-20 21:44,982.0
2022-04-20 21:45,890.0
2022-04-20 21:46,727.0
2022-04-20 21:47,1166.0
2022-04-20 21:48,1003.0
2022-04-20 21:49,1177.0
2022-04-20 21:50,880.0
